ind_id,ind_definition,reportyear,race_eth_code,race_eth_name,geotype,geotypevalue,geoname,county_name,county_fips,region_name,region_code,numerator,denominator,estimate,CA_RR,version
355,Percent of population age 25 and up with a four-year college degree or higher,2000,3,AfricanAm,CT,06095252609,2526.09,Solano,06095,Bay Area,01,49,924,5.3,0.3063583815,Tue Jun 12 12:05:41 2018
355,Percent of population age 25 and up with a four-year college degree or higher,2000,3,AfricanAm,CT,06025010100,101,Imperial,06025,Southern California,14,18,1297,1.4,0.08092485549,Tue Jun 12 12:05:41 2018
355,Percent of population age 25 and up with a four-year college degree or higher,2000,3,AfricanAm,CT,06037553801,5538.01,Los Angeles,06037,Southern California,14,57,425,13.4,0.774566474,Tue Jun 12 12:05:41 2018
355,Percent of population age 25 and up with a four-year college degree or higher,2000,3,AfricanAm,CT,06037462200,4622,Los Angeles,06037,Southern California,14,133,640,20.8,1.202312139,Tue Jun 12 12:05:41 2018
355,Percent of population age 25 and up with a four-year college degree or higher,2000,3,AfricanAm,CT,06081611800,6118,San Mateo,06081,Bay Area,01,95,947,10,0.5780346821,Tue Jun 12 12:05:41 2018
355,Percent of population age 25 and up with a four-year college degree or higher,2000,3,AfricanAm,CT,06013369001,3690.01,Contra Costa,06013,Bay Area,01,100,1152,8.7,0.5028901734,Tue Jun 12 12:05:41 2018
355,Percent of population age 25 and up with a four-year college degree or higher,2000,3,AfricanAm,CT,06037553901,5539.01,Los Angeles,06037,Southern California,14,63,275,22.9,1.323699422,Tue Jun 12 12:05:41 2018
355,Percent of population age 25 and up with a four-year college degree or higher,2000,3,AfricanAm,CT,06037703100,7031,Los Angeles,06037,Southern California,14,1635,3489,46.9,2.710982659,Tue Jun 12 12:05:41 2018
355,Percent of population age 25 and up with a four-year college degree or higher,2000,3,AfricanAm,CT,06067008905,89.05,Sacramento,06067,Sacramento Area,08,18,133,13.5,0.7803468208,Tue Jun 12 12:05:41 2018
355,Percent of population age 25 and up with a four-year college degree or higher,2000,3,AfricanAm,CT,06037602003,6020.03,Los Angeles,06037,Southern California,14,90,593,15.2,0.8786127168,Tue Jun 12 12:05:41 2018
355,Percent of population age 25 and up with a four-year college degree or higher,2000,3,AfricanAm,CT,06037553902,5539.02,Los Angeles,06037,Southern California,14,14,331,4.2,0.2427745665,Tue Jun 12 12:05:41 2018
355,Percent of population age 25 and up with a four-year college degree or higher,2000,3,AfricanAm,CT,06073003101,31.01,San Diego,06073,San Diego,09,108,1461,7.4,0.4277456647,Tue Jun 12 12:05:41 2018
355,Percent of population age 25 and up with a four-year college degree or higher,2000,3,AfricanAm,CT,06001404000,4040,Alameda,06001,Bay Area,01,177,389,45.5,2.630057803,Tue Jun 12 12:05:41 2018
